ID,Edad,Sexo,NivelEducacion,EstadoCivil,NivelSocEco,HorasLogeadas,HorasHabladas,ContactosEfectivosPromedio,RegistrosTerminados,ProdMayorUbral
1,32,m,un,s,c3c4,151.1525,45.8525,192.25,591.75,si
2,24,m,em,s,c3c4,71.18,24.76,1,501,no
3,29,m,em,c,c3c4,120.56,49.45,156,993,si
4,48,f,em,c,e,90.85,28.85,442,569,no
5,25,m,un,s,c3c4,190.18,41.16,0,0,si
6,30,m,em,s,c3c4,164.4583333,32.27333333,186.6666667,359.3333333,si
7,43,f,em,c,e,120.03875,38.265,105.5,209.375,si
8,31,m,em,c,c3c4,67.73333333,23.30333333,49.33333333,63,si
9,29,f,ts,s,c3c4,68.98666667,27.37,155.3333333,418.3333333,no
10,47,m,em,s,e,168.875,80.84166667,452,915.8333333,si
11,48,m,ts,s,c3c4,173.1625,55.745,347.75,1695.75,si
12,32,f,ts,c,c2,65.66,24.27,34,113,no
13,27,f,em,s,c3c4,85.04183333,21.32233333,233,300.5,no
14,22,m,em,s,c3c4,131.82225,21.54925,15.75,19.75,si
15,38,f,em,c,c3c4,145.5633333,44.34444444,53.88888889,378.1111111,si
16,27,f,ts,s,c3c4,226.2,57.45333333,61,594,si
17,24,m,un,s,c2,140.8966667,39.35333333,209.3333333,567.1666667,si
18,21,m,em,s,e,120.5575,51.02625,218.625,632.625,si
19,30,m,em,s,e,103.285,18.315,45,90.5,no
20,35,m,em,s,c3c4,142.405,49.16875,325,750.25,si
21,27,f,em,s,c3c4,174.6111111,81.78777778,231.3333333,951.3333333,si
22,32,m,em,s,e,125.02,54.59333333,373.6666667,555.6666667,si
23,30,m,un,s,c3c4,170.4422222,51.71,236.3333333,456.4444444,si
24,43,m,ts,s,e,195.02,83.53,0,567,no
25,28,m,ts,s,c3c4,156.3883333,87.81666667,413.3333333,934.1666667,si
26,47,m,em,c,c3c4,138.6135,48.623,808.25,855.625,si
27,27,m,ts,s,c3c4,53.495,14.3,122.5,257,no
28,26,f,em,s,e,134.795,39,122.5,283,si
29,21,f,em,s,c3c4,27.25,4.57,165,184,no
30,28,m,em,s,c2,11.44,3.92,53,59,no
31,26,m,ts,s,c3c4,62.11,24.52,88,487,no
32,26,m,un,s,c3c4,34.14,18.99,65,281,no
33,52,f,em,c,c2,37.36,13.005,60.5,193.5,no
34,31,m,ts,s,c3c4,39.41,14.44,58,113,no
35,31,m,em,c,e,66.74,34.6,168,484,no
36,31,f,em,c,e,33.26,7.765,29,133,no
37,28,f,em,c,e,40.461,10.998,0,22,no
38,28,m,un,c,e,15.2,3.42,17,24,no
39,24,m,ts,s,c3c4,15.2,3.23,0,0,no
40,37,f,ts,c,c3c4,63.78,16.81,280,344,no
41,31,m,un,c,c3c4,43.61,9.17,32,160,no
42,29,m,un,s,c2,31.14,19.17,56,319,no
43,24,f,em,s,e,43.476,12.825,0,0,no
44,21,m,ts,s,e,50.46,14.84,182,217,no
45,39,m,ts,c,abc1,49.5,8.7,102,132,no
46,31,f,em,s,e,47.23,8.55,352,412,no
47,31,f,em,s,c3c4,25.06,7.36,62,121,no
48,29,m,ts,s,c3c4,43.98,6.7,172,234,no
49,26,f,em,s,c3c4,35.12,18.62,132,214,no
50,23,m,ts,s,c3c4,42.36,9.73,222,396,no
51,27,f,em,s,c3c4,51.21,12.82,222,286,no
52,52,f,em,c,c3c4,40.93,13.64,206,275,no
53,50,m,ts,s,c2,38.35,12.49,26.5,69,no
54,34,f,ts,s,c3c4,61.15,23.48,170,385,no
55,30,m,ts,s,c3c4,68.283,19.907,213,312,no
56,21,f,em,s,c2,58.83,21.44,150,522,no
57,35,m,em,s,c2,52.36,30.225,116,385,no
58,24,m,ts,s,c2,101.2,36.05,197,664,no
59,23,m,ts,s,e,35.485,9.886,228,318,no
60,21,m,em,s,c3c4,34.638,8.96,192,231,no
61,34,f,ts,s,c3c4,90.84,15.87,191,306,no
62,29,m,ts,s,c3c4,46.341,22.726,181,182,no
63,28,m,ts,s,c2,69.41,16.05,207,250,no
64,22,f,em,s,c3c4,30.02,6.46,10,216,no
65,37,f,ts,s,c2,41.703,16.627,129,133,no
66,27,f,em,s,c2,35.04,8.07,70.5,91.5,no
67,27,m,ts,s,c3c4,89.69,35.3,148,551,no
68,26,f,em,s,c2,30.0685,9.4295,110,125.5,no
69,19,f,em,s,c3c4,39.25,20.97,105,348.5,no
70,42,m,em,c,c3c4,22.725,6.095,15.5,23.5,no
71,44,m,ts,c,c3c4,41.667,10.8605,174,256,no
72,38,f,ts,s,c3c4,80.23,31.35,183,579,si
73,34,m,em,c,c3c4,48.82,24.95,175,292,no
74,25,f,em,s,e,6.18,1.45,5,10.5,no
75,28,f,em,s,c3c4,54.53,19.9,116,282.5,no
76,27,m,em,s,c3c4,64.77,20.955,139,174.5,no
77,23,f,em,s,e,90.91,33.22,186,437,no
78,36,f,em,c,c3c4,64.635,22.53,182.5,269.5,no
79,34,f,em,c,c3c4,54.545,14.115,141,223,no
80,32,f,ts,c,e,106.03,57.1,124,428,si
81,29,m,ts,s,c3c4,19.12,7.64,0,118,no
82,26,m,un,s,c3c4,39.31,27.9,125,373,no
83,25,m,em,s,c3c4,145.88,67.7,145,754,no
84,25,f,ts,s,c3c4,53.63,10.01,102,128,no
85,24,m,em,s,c3c4,114.27,33.07,150,733,no
86,22,m,em,s,c2,58,13.87,55,421,no
87,22,f,em,s,c3c4,57.065,20.025,96.5,261,no
88,24,f,em,s,e,100.07,38.51,227,527,no
89,34,m,un,c,c3c4,62.37,17.33,265,328,no
90,30,m,em,s,c3c4,49.68,17.94,69,139,no
91,25,f,em,s,fue,56.0155,12.8375,118.5,139.5,no
92,25,f,ts,s,e,105.08,48.76,100,440,no
93,23,m,em,s,e,52.04,11.38,80,432,no
94,23,m,em,s,c3c4,83.28,28.06,221,263,no
95,21,f,em,s,e,79.494,32.486,381,554,no
96,39,f,em,c,c3c4,26.45,12.68,51,162,no
97,34,m,un,s,c3c4,74.645,40.74,103,214.5,no
98,26,m,ts,s,c3c4,79.27,18.45,0,393,no
99,30,m,ts,s,c3c4,46.41,18.29,0,244,no
100,30,f,em,c,c3c4,52.06,11.48,60.5,88,no
101,29,f,em,s,c3c4,66.275,10.08,61.5,142.5,no
102,28,f,em,s,c3c4,80.41,36.64,194,750,no
103,28,f,un,s,c3c4,64.1,12.475,74,139.5,no
104,26,m,ts,s,c3c4,31.45,17.59,39,143,no
105,23,f,em,s,c3c4,129.94,44.93,225,361,no
106,37,m,un,s,c2,81.08,42.015,198.5,436,no
107,32,f,ts,s,c3c4,102.8,41.49,236,583,no
108,25,m,em,s,c3c4,70.3245,17.3355,198.5,266.5,no
109,24,f,em,s,c3c4,83.6,33.89,174,454,no
110,63,m,un,s,c3c4,47.29,22.26,110,208,no
111,32,m,ts,s,c2,74.44,23.575,231.5,293.5,no
112,28,f,ts,s,c3c4,76.595,43.635,164,326,no
113,26,m,em,s,c3c4,83.795,45.855,164.5,393,no
114,24,m,em,s,c3c4,104.061,31.489,50,57,no
115,23,m,ts,s,c3c4,11.90333333,1.236666667,185,205.3333333,no
116,56,f,em,c,c3c4,96.935,15.18,313,376,no
117,55,m,ts,c,c3c4,120.96,52.69,234,308,no
118,42,f,un,s,c3c4,92.655,25.02,365,452,no
119,36,m,em,s,c3c4,31.02666667,8.3,69.66666667,78,no
120,31,m,un,s,c3c4,20.151,9.203,87,107,no
121,32,m,ts,s,c2,106.94,29.26,223.5,345,no
122,30,f,em,s,e,74.924,23.182,279.5,290,no
123,31,f,un,s,c3c4,197.71,75.99,405,1484,no
124,27,m,em,s,e,82.96,16.05,204.5,338,no
125,27,f,em,s,c2,81.8165,27.259,151.5,163.5,no
126,27,m,em,s,c3c4,159.7,43.76,245,648,no
127,27,m,ts,s,e,9.56,5.26,19,43,no
128,22,m,em,s,c3c4,9.95,1.54,11,18,no
129,30,f,em,s,e,86.945,42.345,20,328.5,no
130,26,f,em,s,c3c4,26.50666667,7.376666667,44.66666667,69.33333333,no
131,50,m,em,c,c3c4,87.035,34.525,123,311.5,no
132,42,f,ts,s,c3c4,142.57,53.24,181,1633,no
133,33,m,ts,s,c3c4,104.35,43.28,173,774.5,no
134,30,m,em,s,e,86.435,30.315,110.5,302,no
135,30,m,ts,s,c2,127,23.01,314,318,no
136,30,m,em,s,c3c4,86.105,27.83,113.5,491,no
137,28,m,un,s,e,96.555,35.18,312.5,492,no
138,27,m,em,s,c3c4,103.925,51.115,164,658.5,no
139,26,f,em,s,e,94.71,27.07,192,552,no
140,24,f,em,s,c3c4,2.85,0.25,6.5,8,no
141,22,f,ts,s,e,0.17,0.1,2,2,no
142,21,f,em,s,c3c4,80.87,16.49,133,345,no
143,19,m,un,s,c3c4,41.44,10.83,19.5,33.5,no
144,19,m,em,s,c3c4,39.21,11.42,71,77,no
145,60,m,un,c,c3c4,29.39,5.05,48,152,no
146,39,f,ts,c,e,66.555,27.28,154.5,265.5,no
147,32,f,em,s,e,38.15,9.05,76,187,no
148,24,f,em,s,c3c4,74.24,36.415,175.5,385.5,no
149,25,f,em,s,c3c4,9.99,2.05,0,0,no
150,23,f,em,s,abc1,100.762,25.358,32,43,no
151,22,f,ts,s,c2,78.9785,22.549,17.5,47,no
152,20,f,em,s,abc1,80.2075,19.9275,105,139,no
153,55,f,em,s,c3c4,30.62,10.17,39,247,no
154,47,f,em,s,e,119.52,50.935,255,627,no
155,34,m,ts,s,c3c4,40.26,7.545,46,65.5,no
156,37,f,em,c,c3c4,85.1295,17.444,30.5,53,no
157,32,f,em,c,e,72.75,26.1,106,403,no
158,29,f,ts,s,e,103.3566667,37.05,174.3333333,309.6666667,si
159,27,f,em,s,c3c4,38,10.4,0,0,no
160,24,m,ts,s,c3c4,177.67,37.78,1216,1241,no
161,23,m,ts,s,e,174.32,39.31,863,869,no
162,20,f,em,s,c3c4,53.64,13.44,100,288,no
163,48,f,em,c,c3c4,88.135,38.035,179.5,811.5,no
164,35,m,em,s,c3c4,117.01,42.9,231,384,no
165,29,f,em,s,e,164.97,27.98,304,605,no
166,26,f,ts,s,c3c4,64.27,12.24,74,384,no
167,25,f,em,s,c3c4,67.792,13.3065,141.5,358.5,no
168,20,m,em,s,c2,111.392,27.7065,197.5,218,no
169,65,f,un,c,c2,92.57,22.11,129,346.5,no
170,63,f,un,s,c3c4,89.845,33.35,103,301.5,no
171,24,m,em,s,e,118.245,79.735,267,917.5,no
172,46,f,em,s,c3c4,86.265,24.41,125.5,501.5,no
173,28,f,em,s,c3c4,171.15,88.3,391,843,si
174,24,m,em,s,e,39.62,8.97,96,289,no
175,21,f,em,s,c3c4,69.48,24.765,302.5,431,no
176,31,f,em,c,e,73.705,24.29,64,303,no
177,37,f,ts,s,c3c4,79.43,25.57,0,194,no
178,25,f,un,s,c2,18.78,3.13,0,0,no
179,24,m,un,s,c2,99.82,42.785,203,384,no
180,20,f,em,s,e,85.666,20.567,56,217,no
181,51,f,ts,c,e,123.91,39.965,3.5,254.5,no
182,25,m,em,s,c3c4,138.79,36.51,265,716,no
183,48,f,em,s,abc1,124.82,59.23,8.5,539,no
184,23,f,em,s,c3c4,58.355,32.175,112.5,312,no
185,34,f,ts,s,c3c4,37.03,7.86,0,0,no
186,26,m,ts,s,c2,104.865,37.18,251,530,no
187,25,m,em,s,e,98.85,31.85,156,477,no
188,25,f,em,s,c3c4,52.25,7.44,130,464,no
189,23,m,em,s,c3c4,79.652,28.259,0,0,no
190,21,m,ts,s,c3c4,30.98,11.48,83,264,no
191,29,f,em,s,e,23.81,11.36333333,17.66666667,101.3333333,no
192,30,f,em,s,e,44.898,16.496,263,371,no
193,25,m,em,s,c3c4,54.40333333,8.74,171,188,no
194,22,f,em,s,c3c4,43.56,14.34,0,0,no
195,28,m,em,s,c3c4,152.896,66.15,26,28,no
196,34,m,em,s,c3c4,46.75,8.36,72,408.5,no
197,34,m,em,s,c3c4,39.62333333,9.136666667,79.66666667,205.3333333,no
198,27,m,ts,c,c3c4,92.18,26.775,119,354.5,no
199,25,m,em,s,c3c4,95.97,28.41333333,170.6666667,194.3333333,no
200,27,f,em,s,e,128.944,34.4025,148.5,202.5,no
201,31,m,un,s,c2,54.725,10.665,1.5,47,no
202,29,f,em,s,c3c4,110.675,59.19,423.5,656,no
203,34,m,ts,c,e,146.935,22.265,0,0,no
204,29,f,ts,s,e,124.83,30.275,0,0,si
205,26,f,ts,s,c3c4,137.41,39.815,125.5,791,no
206,28,f,em,s,e,38.92,10.785,81.5,89.5,no
207,37,f,em,s,c3c4,99.526,30.496,172.5,212.5,no
208,49,f,ts,s,c3c4,18.2,5.07,39,65,no
209,36,m,un,s,c2,106.78,63.33,258,571,si
210,24,m,em,s,c2,123.27,29.04,150,427,no
211,45,f,un,s,c3c4,156.756,50.777,21,48.5,no
212,34,m,ts,s,c2,24.14,3.75,9,26,no
213,31,f,em,c,e,89.871,29.619,204,294,no
214,39,f,em,c,c3c4,112.6365,40.6155,170,201,si
215,29,f,em,s,e,146.455,45.81,377,741,no
216,26,f,em,c,c3c4,50.52,19.23,73,142,no
217,25,m,em,s,c3c4,23.77,6.39,27,65,no
218,29,m,em,s,c3c4,127.85,32.67,303,711,no
219,38,f,em,s,e,130.64,35.75,199.5,535.5,no
220,44,f,ts,s,c3c4,157.965,82.3,296,660.5,si
221,30,f,em,s,c3c4,142.875,67.77,278.5,988,no
222,36,m,un,s,e,89.81333333,17.73333333,209.3333333,300.3333333,no
223,26,m,em,s,e,142.85,66.47,101,712,no
224,38,f,un,s,abc1,94.94333333,22.46,108.3333333,606,si
225,28,f,ts,s,c2,80.72,21.84,19,109,no
226,24,f,un,s,abc1,84.69,17.93,106,436,no
227,23,m,un,s,c3c4,132.63,25,101,445,si
228,45,m,em,s,c3c4,136.54,89.11333333,271.3333333,966.6666667,si
229,36,f,ts,c,e,125.22,60.03,329.5,824.5,no
230,37,m,ts,s,c3c4,160.5,80.185,260.5,748,no
231,36,f,ts,c,c3c4,173.95,63.89,552,632,si
232,36,f,em,s,e,108.785,32.32,184.75,271.5,no
233,28,f,ts,s,c3c4,155.6525,37.5925,216.5,636.5,no
234,27,f,un,s,e,27.18,14.07,52,149,no
235,27,m,em,s,e,29.23,12.41,33,125,no
236,25,f,un,c,e,89.15,15.135,110.5,428,no
237,25,m,em,s,e,189.38,57.92,0,656,si
238,20,f,ts,s,c3c4,88.385,26.465,85,98.5,no
239,19,m,em,s,c3c4,33.395,8.685,7.5,14.5,no
240,35,m,ts,s,c3c4,127.79,42.0275,195.5,357,no
241,28,m,ts,s,c3c4,90.54666667,33.22333333,223,540.3333333,no
242,25,m,em,s,e,92.972,15.002,144.6,375.2,si
243,21,m,em,s,e,125.62,14.489,218.3333333,333,no
244,47,f,em,s,c3c4,115.73,19.15,624,686,no
245,30,m,ts,s,c3c4,117.53,34.4,116,231,si
246,37,m,un,s,c2,124.9,36.19,190,430,no
247,26,f,em,s,c3c4,175.34,69.41,12,944,si
248,24,m,ts,s,c3c4,94.28266667,24.50166667,276.6666667,499.3333333,no
249,41,m,em,c,e,91.22666667,32.6,165.6666667,531,no
250,39,m,un,s,c3c4,38.74,4.92,0,0,no
251,32,m,un,s,c3c4,101.35,60.845,213.5,418.25,si
252,27,f,em,s,e,127.1066667,70.79666667,286.3333333,637.3333333,no
253,32,m,em,c,c3c4,137.95,76.66,316.6666667,771.3333333,si
254,27,f,em,s,c3c4,80.3205,28.572,223.5,409.75,no
255,39,f,un,s,e,170.18,78.705,414.5,1170.5,si
256,34,m,ts,c,e,139.7,57.41,33,573,no
257,31,m,em,c,e,152.975,64.585,257,694,no
258,23,f,em,s,e,62.86,30.56,147,334,no
259,22,f,un,s,c2,166.755,42.995,208,1082.5,no
260,38,f,em,s,c3c4,123.125,50.37,298.5,638.5,si
261,28,m,un,c,c3c4,158.59,89.15,265,525,no
262,27,m,ts,s,c2,101.12,19.22,7,216,no
263,23,f,em,s,c3c4,72.575,25.395,151.5,448,no
264,43,m,em,s,c2,54.725,22.99,65.5,414,no
265,53,f,ts,s,c3c4,116.9866667,51.46,256,570.3333333,no
266,25,m,un,s,c3c4,71.91,15.025,198.5,530.5,no
267,52,f,ts,s,c3c4,133.69,76.585,475.5,806,no
268,24,m,ts,s,c3c4,113.78,27.02,84.5,390,no
269,46,f,em,s,c2,133.5,38.03333333,284.6666667,358.6666667,no
270,37,f,ts,c,e,103.8,27.62,219,871,no
271,27,m,em,s,c3c4,171.63,80.465,480.5,1104.5,si
272,33,m,ts,s,fue,82.39333333,27.97,209,564.6666667,no
273,32,m,ts,s,c3c4,111.86,17.64,84.66666667,715.3333333,no
274,28,m,ts,s,c3c4,170.985,59.955,427,619.5,si
275,48,m,em,c,c3c4,191.83,72.45,404,1413,si
276,29,f,em,s,e,158.9,28.135,319.5,526,no
277,27,f,em,s,c3c4,117.855,59.5225,337.5,955,si
278,28,f,un,s,e,151.156,39.764,314,401,no
279,26,f,un,s,e,12.49,2.75,27,34,no
280,26,m,em,s,c3c4,97.235,32.195,276.5,317,no
281,35,m,em,s,e,69.2425,17.428,10.5,378.5,no
282,44,m,ts,c,e,181.98,114.6,488,1212,si
283,46,f,em,c,c3c4,170.5,87.27,226,679,si
284,43,m,em,s,c3c4,80.545,19.11333333,57,314.6666667,no
285,26,m,un,s,fue,138.76,66.235,312,563,si
286,39,m,em,s,c3c4,109.84,35.06333333,367.3333333,443.6666667,no
287,36,f,em,c,c3c4,176.465,93.99,706,1091,si
288,31,m,un,c,c3c4,63.45,20.345,80.75,197.75,no
289,30,m,em,c,c2,19.905,9.4,53,70.5,no
290,43,f,em,c,c3c4,93.985,46.45,194,494,no
291,54,m,un,c,c2,115.465,52.0575,109.75,656.5,no
292,29,m,em,s,c3c4,116.395,29.81,161,513,si
293,23,f,em,s,e,83.625,42.255,189,493.5,no
294,32,m,ts,s,c3c4,116.283,24.792,102,147,no
295,25,f,em,s,c3c4,152.87,42.38,138,546.5,no
296,42,f,em,c,c3c4,131.18,69.16,230,776.5,si
297,28,m,un,s,c2,149.64,29.97,258,378,no
298,41,m,em,s,c3c4,51.089,11.371,0,0,no
299,47,f,ts,s,c3c4,121.478,36.902,276.2,442,no
300,29,f,un,s,e,63.97,13.65,94,309,no
301,29,m,em,s,c3c4,120.6625,37.7375,159,261.5,si
302,32,m,un,c,c3c4,115.73,50.225,183.75,421.75,no
303,27,m,un,s,c3c4,128.0322222,68.71,236.3333333,829.7777778,si
304,22,f,ts,s,e,107.87,42.7275,123,640.75,no
305,24,f,ts,s,e,163.7325,62.7625,262.75,477,si
306,32,m,un,s,c3c4,90.1384,39.2404,293.8,322.6,no
307,23,m,em,s,c3c4,180.29,29.92,0,0,si
308,31,f,ts,c,c2,104.92,37.54,71,116,no
309,31,f,em,s,c3c4,97.26033333,33.42933333,172,381,no
310,30,m,un,c,c3c4,47.7625,23.5075,34,91.25,no
311,25,m,ts,s,c3c4,182.9066667,53.04333333,378,647.3333333,si
312,44,m,un,c,c2,121.55,19.7,184,478,si
313,26,f,ts,s,c3c4,28.095,8.285,35.5,95.5,no
314,25,f,em,s,c2,139.6866667,67.55666667,332,925.6666667,si
315,50,m,em,c,c3c4,117.225,75.275,286.5,926.5,no
316,24,m,un,s,c3c4,160.54,102.14,402,825,si
317,22,m,un,s,c3c4,105.74,37.13,87,102,si
318,35,f,em,s,c3c4,181.1533333,74.33666667,609.3333333,843.3333333,si
319,27,f,un,s,c3c4,137.185,47.505,308.5,603.5,no
320,31,m,em,s,c3c4,179.88,30.5,286,781,si
321,26,f,un,s,c2,158.445,37.21,19.5,777,no
322,23,f,un,s,c3c4,117.67225,31.37525,240,312,si
323,21,m,un,s,c3c4,138.388,37.1115,277.75,425.25,si
324,38,m,ts,c,c3c4,131.0554286,58.76528571,272.7142857,627.2857143,si
325,20,m,em,s,c3c4,131.3036667,22.53366667,101.1111111,501.4444444,si
326,31,f,em,s,fue,143.994,32.822,175.4,283.6,si
327,38,f,ts,s,c3c4,44.22,11.207,136,352,no
328,22,f,em,s,c3c4,88.2315,7.6875,72.5,95,no
329,45,m,em,s,c2,132.386,68.718,95.4,638,si
330,35,f,em,c,c3c4,154.34,47.59833333,180,297,si
331,22,f,em,s,c3c4,4.41,1.95,2,19,no
332,40,m,ts,c,c3c4,122.9738333,56.484,140.1666667,759,si
333,53,m,un,s,c3c4,137.088,27.598,154.2,330.4,no
334,49,f,ts,c,c3c4,114.485,20.88,68.75,352,no
335,27,f,em,s,e,95.94333333,55.06666667,394.3333333,513.3333333,si
336,41,m,em,s,c2,131.43975,54.9525,185.25,436.75,si
337,29,m,ts,s,e,155.47,41.394,163,780.6,si
338,28,m,ts,s,e,124.96,66.61,258,748,si
339,50,m,un,c,c3c4,189.66,83.66666667,249,619.6666667,no
340,29,f,sec,c,e,115.186,31.653,96,227,no
341,31,m,un,s,c3c4,176.82125,88.485,318.625,931.875,si
342,34,m,em,c,c3c4,153.27,59.545,223.3333333,573,no
343,37,m,em,s,c3c4,126.955,28.695,277.5,321,no
344,26,f,em,s,e,154.232,53.95,196.8,691,si
345,31,m,un,s,c3c4,65.05,26.05,141,227,no
346,22,m,em,s,c3c4,41.71285714,0.114285714,12.71428571,12.71428571,no
347,35,m,ts,s,e,150.718,46.972,335.4,530.6,si
348,36,m,ts,s,c3c4,204.66,93.85,342,866,no
349,27,m,un,s,c2,119.63,67.95666667,114,283,no
350,42,m,em,c,e,121.3425,32.49,124,373,no
351,28,f,em,s,c3c4,98.295,29.495,3,523,no
